State,2018,2019,2020,2021,2022,2023,2024
Jammu and Kashmir,12071,12396,12726,13060,13395,13744,14112
Ladakh,273,279,286,294,302,309,318
Himachal Pradesh,8412,8589,8799,8978,9164,9373,9566
Punjab,36888,37744,38636,39521,40435,41337,42288
Chandigarh,966,994,1024,1053,1088,1120,1152
Uttarakhand,10932,11216,11482,11779,12065,12348,12642
Haryana,27665,28453,29219,30015,30851,31679,32513
Delhi,23678,24436,25178,25969,26735,27561,28387
Rajasthan,67380,69156,70987,72825,74725,76655,78604
Uttar Pradesh,192019,196652,201319,206088,210958,215931,221000
Bihar,98383,101014,103711,106435,109274,112180,115123
Sikkim,437,443,445,465,496,525,561
Arunachal Pradesh,991,1015,1035,1064,1087,1125,1143
Nagaland,1684,1719,1768,1805,1854,1890,1935
Manipur,1803,1844,1899,2022,2097,2169,2250
Mizoram,1742,1783,1837,1919,1985,2063,2114
Tripura,2454,2507,2574,2623,2715,2790,2871
Meghalaya,2741,2808,2879,2943,3025,3099,3168
Assam,36029,36948,37880,38834,39787,40721,41713
West Bengal,103309,105814,108394,110972,113581,116230,118910
Jharkhand,32150,33045,33961,34910,35860,36840,37824
Odisha,48491,49604,50692,51829,52960,54136,55335
Chattisgarh,26443,27113,27828,28529,29253,30014,30763
Madhya Pradesh,73957,75911,77888,79871,81901,84029,86124
Gujarat,66069,67841,69660,71507,73382,75290,77205
Daman,107,118,124,135,150,161,173
Dadra and Nagar Haveli,173,186,206,219,238,252,268
Maharashtra,110696,113374,116121,118906,121717,124584,127512
Telangana,45335,46464,47620,48775,49983,51145,52334
Andhra Pradesh,67370,68883,70424,71970,73536,75086,76708
Karnataka,81729,83824,85968,88126,90349,92560,94832
Goa,1543,1591,1618,1652,1700,1735,1783
Lakshadweep,27,27,27,28,28,31,32
Kerala,55145,56148,57155,58139,59143,60162,61175
Tamil Nadu,84320,86596,88866,91184,93536,95944,98386
Pondicherry,1469,1523,1577,1623,1679,1753,1823
Andaman and Nicobar Islands,351,357,366,380,393,401,408
Total,1325232,1358415,1392179,1426447,1461427,1496972,1533055
