State/UT,2018,2019,2020,2021,2022,2023,2024
Jammu & Kashmir,6824,7003,7189,7211,7396,7499.0,7643.0
Himachal Pradesh,4624,4744,4856,4953,5058,5159.0,5262.0
Punjab,21278,21763,22276,22786,23301,23813.0,24326.0
Chandigarh,532,548,564,582,598,615.0,631.0
Uttaranchal,6028,6184,6337,6500,6655,6814.0,6971.0
Haryana,15255,15684,16109,16543,16997,17441.0,17890.0
Delhi,13218,13644,14057,14494,14917,15347.0,15773.0
Rajasthan,37123,38100,39111,40117,41167,42195.0,43234.0
Uttar Pradesh,106350,108911,111491,114128,116818,119481.0,122157.0
Bihar,54566,56028,57531,59043,60629,62178.0,63745.0
Sikkim,270,275,276,288,308,324.0,342.0
Arunachal Pradesh,612,622,635,655,670,687.0,703.0
Nagaland,961,982,1008,1029,1060,1086.0,1114.0
Manipur,1047,1070,1105,1175,1220,1277.0,1328.0
Mizoram,1119,1149,1183,1231,1271,1315.0,1357.0
Tripura,1496,1526,1571,1600,1651,1691.0,1736.0
Meghalaya,1791,1837,1887,1928,1980,2026.0,2075.0
Assam,21715,22261,22824,23395,23974,24549.0,25126.0
West Bengal,56988,58368,59786,61213,62652,64085.0,65521.0
Jharkhand,17710,18215,18716,19241,19766,20291.0,20816.0
Orissa,26810,27427,28024,28656,29287,29918.0,30549.0
Chhattisgarh,14522,14891,15279,15666,16057,16446.0,16836.0
Madhya Pradesh,40798,41876,42966,44056,45176,46281.0,47393.0
Gujarat,36325,37300,38306,39328,40356,41381.0,42407.0
Daman,55,63,66,70,77,82.0,88.0
Dadra & Nagar Haveli,92,102,109,117,128,137.0,147.0
Maharashtra,60814,62291,63797,65326,66879,68420.0,69967.0
Telangana ,24788,25408,26038,26681,27339,27989.0,28643.0
Andhra Pradesh,36884,37724,38582,39443,40307,41169.0,42032.0
Karnataka,44775,45926,47113,48290,49516,50717.0,51930.0
Goa,848,877,893,909,932,951.0,972.0
Lakshadweep,13,13,13,14,14,14.0,14.0
Kerala,30057,30615,31166,31713,32271,32823.0,33378.0
Tamil Nadu,45846,47075,48314,49571,50841,52104.0,53370.0
Pondicherry,794,820,852,879,905,931.0,957.0
Andaman & Nicobar Islands,193,195,200,205,214,221.0,229.0
Total,733139,751517,770230,789202,808558,827722.0,846982.0
